Angle (deg),Displacement (m),ux (m/s),uy (m/s)
57.99969,0.7163817,8.943333,-3.352309
58.09969,0.7154918,8.951378,-3.361179
58.19968,0.7146034,8.959391,-3.370048
58.29968,0.7137155,8.967369,-3.378912
58.39968,0.7128288,8.975314,-3.387776
58.49968,0.7119429,8.983224,-3.396636
58.59968,0.7110584,8.991101,-3.405494
58.69968,0.710174,8.998944,-3.41435
58.79967,0.7092909,9.006756,-3.423202
58.89967,0.7084088,9.01453,-3.432051
58.99967,0.7075278,9.022274,-3.440898
59.09967,0.7066478,9.029984,-3.449741
59.19967,0.7057688,9.037659,-3.458582
59.29967,0.7048905,9.0453,-3.46742
59.39967,0.7040138,9.052907,-3.476254
59.49966,0.7031372,9.06048,-3.485085
59.59966,0.7022625,9.068022,-3.493913
59.69966,0.7013885,9.075528,-3.502737
59.79966,0.7005157,9.083001,-3.511558
59.89966,0.6996434,9.09044,-3.520375
59.99966,0.698773,9.097845,-3.529188
60.09966,0.6979032,9.105216,-3.537997
60.19965,0.6970344,9.112553,-3.546803
60.29965,0.6961668,9.119857,-3.555606
60.39965,0.6953004,9.127128,-3.564404
60.49965,0.6944351,9.134363,-3.573198
60.59965,0.6935709,9.141564,-3.581987
60.69965,0.6927077,9.148733,-3.590773
60.79964,0.6918457,9.155869,-3.599555
60.89964,0.6909849,9.162968,-3.608331
60.99964,0.6901255,9.170035,-3.617104
61.09964,0.6892668,9.177069,-3.625872
61.19964,0.6884092,9.184067,-3.634635
61.29964,0.6875533,9.191032,-3.643394
61.39964,0.6866981,9.197964,-3.652148
61.49963,0.6858442,9.204861,-3.660897
61.59963,0.6849913,9.211724,-3.669642
61.69963,0.6841398,9.218554,-3.678382
61.79963,0.6832897,9.225349,-3.687115
61.89963,0.6824408,9.23211,-3.695844
61.99963,0.6815928,9.238838,-3.704568
62.09962,0.680746,9.245531,-3.713286
62.19962,0.6799009,9.252192,-3.722
62.29962,0.6790563,9.258818,-3.730708
62.39962,0.6782133,9.265409,-3.73941
62.49962,0.6773717,9.271968,-3.748107
62.59962,0.6765311,9.278491,-3.756798
62.69962,0.6756923,9.28498,-3.765482
62.79961,0.6748539,9.291436,-3.774162
62.89961,0.6740173,9.297859,-3.782836
62.99961,0.6731818,9.304248,-3.791504
63.09961,0.6723474,9.310601,-3.800164
63.19961,0.6715147,9.316922,-3.808821
63.29961,0.6706827,9.323207,-3.817469
63.3996,0.6698526,9.32946,-3.826113
63.4996,0.6690237,9.335678,-3.834749
63.5996,0.6681954,9.341863,-3.843379
63.6996,0.667369,9.348013,-3.852003
63.7996,0.6665439,9.354129,-3.860619
63.8996,0.6657199,9.36021,-3.86923
63.9996,0.6648972,9.366259,-3.877833
64.09959,0.6640762,9.372273,-3.886431
64.19959,0.663256,9.378253,-3.89502
64.29959,0.6624371,9.3842,-3.903604
64.39959,0.6616202,9.390112,-3.912179
64.49959,0.660804,9.39599,-3.920748
64.59959,0.6599894,9.401834,-3.92931
64.69958,0.6591758,9.407644,-3.937864
64.79958,0.658364,9.413422,-3.94641
64.89958,0.6575533,9.419165,-3.954951
64.99958,0.6567438,9.424871,-3.963482
65.09958,0.6559358,9.430547,-3.972007
65.19958,0.6551294,9.436187,-3.980523
65.29958,0.6543239,9.441792,-3.989032
65.39957,0.6535204,9.447366,-3.997533
65.49957,0.6527175,9.452904,-4.006026
65.59957,0.6519165,9.458408,-4.014512
65.69957,0.6511168,9.463879,-4.022989
65.79957,0.6503181,9.469316,-4.031458
65.89957,0.6495208,9.474718,-4.03992
65.99957,0.6487253,9.480087,-4.048372
66.09956,0.6479307,9.485421,-4.056816
66.19956,0.6471382,9.490723,-4.065252
66.29956,0.6463465,9.495988,-4.073679
66.39956,0.645556,9.501222,-4.082099
66.49956,0.6447674,9.506419,-4.090508
66.59956,0.64398,9.511585,-4.09891
66.69955,0.6431939,9.516715,-4.107302
66.79955,0.6424091,9.521812,-4.115686
66.89955,0.6416258,9.526875,-4.124061
66.99955,0.6408439,9.531905,-4.132428
67.09955,0.6400635,9.536901,-4.140784
67.19955,0.6392843,9.541862,-4.149131
67.29955,0.6385067,9.546788,-4.15747
67.39954,0.6377304,9.551682,-4.165798
67.49954,0.6369553,9.556541,-4.174118
67.59954,0.636182,9.561367,-4.182428
67.69954,0.6354094,9.566158,-4.190729
67.79954,0.6346392,9.570916,-4.199019
67.89954,0.6338698,9.57564,-4.207301
67.99953,0.6331018,9.580331,-4.215572
68.09953,0.6323351,9.584986,-4.223834
68.19953,0.6315703,9.589609,-4.232085
68.29953,0.6308064,9.594197,-4.240326
68.39953,0.6300445,9.598752,-4.248558
68.49953,0.6292834,9.603272,-4.256779
68.59953,0.6285244,9.60776,-4.26499
68.69952,0.6277663,9.612212,-4.27319
68.79952,0.6270097,9.616632,-4.281381
68.89952,0.6262542,9.621017,-4.28956
68.99952,0.6255007,9.625369,-4.29773
69.09952,0.6247483,9.629688,-4.30589
69.19952,0.6239974,9.633971,-4.314037
69.29951,0.6232482,9.638223,-4.322175
69.39951,0.6224999,9.642439,-4.330299
69.49951,0.6217534,9.646621,-4.338416
69.59951,0.6210082,9.650772,-4.346521
69.69951,0.6202644,9.654887,-4.354613
69.79951,0.6195219,9.658968,-4.362696
69.89951,0.6187811,9.663017,-4.370768
69.9995,0.6180416,9.667031,-4.378827
70.0995,0.6173032,9.671011,-4.386877
70.1995,0.6165667,9.674959,-4.394913
70.2995,0.6158314,9.678872,-4.402938
70.3995,0.6150979,9.682752,-4.410953
70.4995,0.6143652,9.686598,-4.418955
70.59949,0.6136343,9.690411,-4.426945
70.69949,0.6129048,9.694189,-4.434924
70.79949,0.6121771,9.697934,-4.442891
70.89949,0.6114504,9.701647,-4.450845
70.99949,0.610725,9.705324,-4.458788
71.09949,0.6100011,9.708969,-4.466719
71.19949,0.6092784,9.712579,-4.474638
71.29948,0.6085579,9.716157,-4.482544
71.39948,0.6078383,9.7197,-4.490438
71.49948,0.6071201,9.72321,-4.498319
71.59948,0.6064035,9.726688,-4.506188
71.69948,0.6056883,9.730131,-4.514045
71.79948,0.6049747,9.733541,-4.521889
71.89948,0.6042621,9.736917,-4.52972
71.99947,0.603551,9.74026,-4.537539
72.09947,0.6028416,9.743569,-4.545344
72.19947,0.6021337,9.746845,-4.553136
72.29947,0.6014269,9.750088,-4.560917
72.39947,0.6007217,9.753297,-4.568683
72.49947,0.6000178,9.756474,-4.576437
72.59946,0.5993153,9.759616,-4.584177
72.69946,0.5986147,9.762726,-4.591904
72.79946,0.5979151,9.765801,-4.599617
72.89946,0.5972168,9.768844,-4.607317
72.99946,0.5965202,9.771853,-4.615005
73.09946,0.5958247,9.774829,-4.622678
73.19946,0.595131,9.777773,-4.630337
73.29945,0.5944386,9.780682,-4.637984
73.39945,0.5937479,9.783558,-4.645615
73.49945,0.593058,9.786401,-4.653233
73.59945,0.5923699,9.78921,-4.660838
73.69945,0.5916831,9.791987,-4.668428
73.79945,0.5909976,9.794731,-4.676004
73.89944,0.590314,9.797441,-4.683566
73.99944,0.5896316,9.800118,-4.691114
74.09944,0.5889503,9.802764,-4.698647
74.19944,0.5882706,9.805373,-4.706166
74.29944,0.5875925,9.807953,-4.713671
74.39944,0.5869156,9.810496,-4.72116
74.49944,0.5862403,9.813009,-4.728636
74.59943,0.5855663,9.815488,-4.736097
74.69943,0.5848938,9.817934,-4.743543
74.79943,0.5842227,9.820346,-4.750974
74.89943,0.5835527,9.822727,-4.758391
74.99943,0.5828844,9.825073,-4.765791
75.09943,0.5822173,9.827388,-4.773179
75.19942,0.5815518,9.82967,-4.78055
75.29942,0.5808876,9.831917,-4.787906
75.39942,0.5802251,9.834134,-4.795248
75.49942,0.5795635,9.836316,-4.802573
75.59942,0.578904,9.838466,-4.809883
75.69942,0.5782455,9.840583,-4.817177
75.79942,0.5775882,9.842668,-4.824457
75.89941,0.5769328,9.844718,-4.831721
75.99941,0.5762782,9.846737,-4.838969
76.09941,0.5756257,9.848724,-4.846201
76.19941,0.5749741,9.850677,-4.853417
76.29941,0.5743238,9.852598,-4.860619
76.39941,0.5736752,9.854486,-4.867803
76.4994,0.5730276,9.85634,-4.874972
76.5994,0.5723819,9.858165,-4.882125
76.6994,0.5717372,9.859955,-4.889261
76.7994,0.5710942,9.861712,-4.896381
76.8994,0.5704523,9.863437,-4.903485
76.9994,0.5698118,9.86513,-4.910573
77.0994,0.569173,9.866791,-4.917644
77.19939,0.5685354,9.868419,-4.924698
77.29939,0.5678995,9.870014,-4.931737
77.39939,0.5672644,9.871576,-4.938758
77.49939,0.5666311,9.873108,-4.945763
77.59939,0.565999,9.874606,-4.95275
77.69939,0.5653682,9.876072,-4.959722
77.79939,0.5647393,9.877506,-4.966676
77.89938,0.5641111,9.878906,-4.973613
77.99938,0.5634848,9.880277,-4.980533
78.09938,0.5628597,9.881613,-4.987436
78.19938,0.562236,9.882916,-4.994321
78.29938,0.5616137,9.88419,-5.001191
78.39938,0.5609923,9.88543,-5.008041
78.49937,0.5603726,9.886638,-5.014874
78.59937,0.5597548,9.887814,-5.021691
78.69937,0.5591375,9.888957,-5.028491
78.79937,0.5585221,9.890069,-5.035271
